source_url,index_title,index_section,index_type_hint,current_notice
https://www.police.vic.gov.au/public-notice-croydon-28-january-2022,Friday 28 January 2022: Croydon,previous,,FALSE
https://www.police.vic.gov.au/public-notice-st-kilda-new-years-eve-2021,Friday 31 December 2021 - Saturday 1 January 2022: St Kilda New Year's Eve,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-new-years-eve-2021,Friday 31 December 2021 - Saturday 1 January 2022: Melbourne New Year's Eve,previous,,FALSE
https://www.police.vic.gov.au/public-notice-this-is-what-tyranny-looks-like-rally-saturday-16-october-2021,Saturday 16 October 2021: This Is What Tyranny Looks Like rally,previous,,FALSE
https://www.police.vic.gov.au/public-notice-freedom-rally-melbourne-18-September-2021,Saturday 18 September 2021: Freedom Rally Melbourne,previous,,FALSE
https://www.police.vic.gov.au/public-notice-sunshine-18-August-2021,Wednesday 18 August 2021: Sunshine,previous,,FALSE
https://www.police.vic.gov.au/public-notice-footscray-30-June-2021,Wednesday 30 June 2021: Footscray,previous,,FALSE
https://www.police.vic.gov.au/public-notice-wyndham-20-21-May-2021,Thursday 20 May - Friday 21 May 2021: City of Wyndham,previous,,FALSE
https://www.police.vic.gov.au/public-notice-city-wyndham-14-15-May-2021,Friday 14 May - Saturday 15 May 2021: City of Wyndham,previous,,FALSE
https://www.police.vic.gov.au/public-notice-footscray-6-May-2021,Thursday 6 May 2021: Footscray,previous,,FALSE
https://www.police.vic.gov.au/public-notice-moomba-2021,Friday 5 March - Sunday 7 March 2021: Moomba Festival,previous,,FALSE
https://www.police.vic.gov.au/public-notice-new-years-eve-2020,Thursday 31 December 2020 - Friday 1 January 2021: Melbourne New Year's Eve 2020,previous,,FALSE
https://www.police.vic.gov.au/public-notice-deer-park-19-20-june-2020,Friday 19 June - Saturday 20 June 2020: Deer Park,previous,,FALSE
https://www.police.vic.gov.au/public-notice-deer-park-17-june-2020,Wednesday 17 June 2020: Deer Park,previous,,FALSE
https://www.police.vic.gov.au/public-notice-city-of-casey-27-March-2020,Friday 27 March 2020: City of Casey,previous,,FALSE
https://www.police.vic.gov.au/public-notice-moomba-2020,Friday 6 March - Sunday 8 March 2020: Melbourne Moomba Festival 2020,previous,,FALSE
