notice_id,title,location,suburb,suburb_source,lga,lga_source,start_date,end_date,end_date_basis,date_parse_status,current_notice,index_section,index_title,location_description,date_text,page_updated_date,source_url,source_page_url,raw_html_file,scraped_at,scrape_date,is_designated_area
public-notice-dandenong-railway-station-and-dandenong-cbd-thursday-18-september-2025,Public notice: Dandenong Railway Station and Dandenong CBD - Thursday 18 September 2025,Dandenong Railway Station and Dandenong CBD,Dandenong,location_keyword,,,2025-09-18,2025-09-18,single_day_notice,parsed,FALSE,previous,Thursday 18 September: Dandenong Railway Station and CBD,,"This declaration will be in place from 12pm to 11.59pm, on Thursday 18 September.",2025-09-12,https://www.police.vic.gov.au/public-notice-dandenong-railway-station-and-dandenong-cbd-thursday-18-september-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-dandenong-railway-station-and-dandenong-cbd-thursday-18-september-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-waverley-gardens-shopping-centre-20-september-2025,Public notice: Waverley Gardens Shopping Centre - Saturday 20 September 2025,Waverley Gardens Shopping Centre,Waverley Gardens,location_keyword,,,2025-09-20,2025-09-20,single_day_notice,parsed,FALSE,previous,Saturday 20 September: Waverley Gardens Shopping Centre,,"This declaration will be in place from 11am to 7pm, on Saturday 20 September.",2025-09-19,https://www.police.vic.gov.au/public-notice-waverley-gardens-shopping-centre-20-september-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-waverley-gardens-shopping-centre-20-september-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-corio-wednesday-1-october-2025,Public notice: Corio - Wednesday 1 October 2025,Corio,Corio,simple_location_title,,,2025-10-01,2025-10-01,single_day_notice,parsed,FALSE,previous,Wednesday 1 October: Corio,,This declaration will be in place from 10.00am to 10.00pm on Wednesday 1 October.,2025-09-19,https://www.police.vic.gov.au/public-notice-corio-wednesday-1-october-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-corio-wednesday-1-october-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-geelong-cbd-wednesday-1-october-2025,Public notice: Geelong CBD - Wednesday 1 October 2025,Geelong CBD,Geelong,location_keyword,,,2025-10-01,2025-10-01,single_day_notice,parsed,FALSE,previous,Wednesday 1 October: Geelong CBD,,This declaration will be in place from 10.00am to 10.00pm on Wednesday 1 October.,2025-09-19,https://www.police.vic.gov.au/public-notice-geelong-cbd-wednesday-1-october-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-geelong-cbd-wednesday-1-october-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-waurn-ponds-wednesday-1-october-2025,Public notice: Waurn Ponds - Wednesday 1 October 2025,Waurn Ponds,Waurn Ponds,simple_location_title,,,2025-10-01,2025-10-01,single_day_notice,parsed,FALSE,previous,Wednesday 1 October: Waurn Ponds,,This declaration will be in place from 10.00am to 10.00pm on Wednesday 1 October.,2025-09-19,https://www.police.vic.gov.au/public-notice-waurn-ponds-wednesday-1-october-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-waurn-ponds-wednesday-1-october-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-melbourne-cbd-and-surrounds-sunday-19-october-2025,Public notice: Melbourne CBD and surrounds - Sunday 19 October 2025,Melbourne CBD and surrounds,Melbourne,location_keyword,,,2025-10-19,2025-10-19,single_day_notice,parsed,FALSE,previous,Sunday 19 October 2025: Melbourne CBD,,This declaration will be in place from 8.00am to 8.00pm on Sunday 19 October.,2025-10-14,https://www.police.vic.gov.au/public-notice-melbourne-cbd-and-surrounds-sunday-19-october-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-cbd-and-surrounds-sunday-19-october-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-werribee-railway-station-and-cbd-tuesday-21-october-2025,Public notice: Werribee Railway Station and CBD - Tuesday 21 October 2025,Werribee Railway Station and CBD,Werribee,location_keyword,,,2025-10-21,2025-10-21,single_day_notice,parsed,FALSE,previous,Tuesday 21 October 2025: Werribee Railway Station,,This declaration will be in place from 8am to 10pm on Tuesday 21 October.,2025-10-17,https://www.police.vic.gov.au/public-notice-werribee-railway-station-and-cbd-tuesday-21-october-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-werribee-railway-station-and-cbd-tuesday-21-october-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-melbourne-cbd-and-surrounds-saturday-15-november-2025,Public notice: Melbourne CBD and surrounds - Saturday 15 November 2025,Melbourne CBD and surrounds,Melbourne,location_keyword,,,2025-11-15,2025-11-15,single_day_notice,parsed,FALSE,previous,Saturday 15 November 2025: Melbourne CBD and surrounds,,This declaration will be in place from 8.00am to 8.00pm on Saturday 15 November.,2025-11-10,https://www.police.vic.gov.au/public-notice-melbourne-cbd-and-surrounds-saturday-15-november-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-cbd-and-surrounds-saturday-15-november-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-morwell-cbd-monday-17-november-2025,Public notice: Morwell CBD - Monday 17 November 2025,Morwell CBD,Morwell,location_keyword,,,2025-11-17,2025-11-17,single_day_notice,parsed,FALSE,previous,Monday 17 November 2025: Morwell CBD,,This declaration will be in place from 12.00pm to 8.00pm on Monday 17 November.,2025-11-10,https://www.police.vic.gov.au/public-notice-morwell-cbd-monday-17-november-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-morwell-cbd-monday-17-november-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-altona-railway-station-and-cbd-friday-21-november-2025,Public notice: Altona Railway Station and CBD - Friday 21 November 2025,Altona Railway Station and CBD,Altona,location_keyword,,,2025-11-21,2025-11-21,single_day_notice,parsed,FALSE,previous,Friday 21 November 2025: Altona Railway Station and CBD,,This declaration will be in place from 1.00pm to 9.00pm on Friday 21 November.,2025-11-17,https://www.police.vic.gov.au/public-notice-altona-railway-station-and-cbd-friday-21-november-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-altona-railway-station-and-cbd-friday-21-november-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
